Name,Activity name,Activity code,Amount
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, condensate from light oil boiler, municipal incineration",u3no3j0qoonv6is1r6o94wx5u0z3fjno,4.845747101843789e-06
DHN_COGEN_WASTE,"treatment of used liquid crystal display module, municipal incineration",mc9v5257q82pufelfpiwtk4tg4m0zzi5,0.0001425109441247547
DHN_COGEN_WASTE,"treatment of waste wood, untreated, municipal incineration",slwk3ymlrbnojufwfdydzxdac5pboqxq,0.2531150616532692
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from potato starch production, municipal incineration",uxpfspw6d80kf45gek0q8rf36b6rknwk,0.001318468958867559
DHN_COGEN_WASTE,"treatment of waste sealing sheet, polyethylene, municipal incineration",3ouocthi586fl9f1chw6wc49mueahhlp,0.00141534012755785
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, rainwater mineral oil storage, municipal incineration",a23z4g6lrbi639dmw8kanhvql971kvxx,3.078276584020738e-16
DHN_COGEN_WASTE,"treatment of sewage sludge, 70% water, WWT, WW from vegetable oil refinery, municipal incineration",18nobe0yhknf7izs1qui3kir4n2q16av,0.08481063407681307
DHN_COGEN_WASTE,"treatment of waste paint, municipal incineration",lz9023pimlrlmb67729c5ntor9pg87sg,0.006162328572572084
DHN_COGEN_WASTE,"treatment of waste plastic, industrial electronics, municipal incineration",3492t2jxhvdy8e4nehhde64qca004xm2,0.003932278441258398
DHN_COGEN_WASTE_CC,"treatment of spent anion exchange resin from potable water production, municipal incineration",u3vism4nah5q43ytj9mqovfqd2sfwrt9,1.44992176893731e-06
DHN_COGEN_WASTE_CC,"treatment of residue from mechanical treatment, laptop computer, municipal incineration",9irh3rh455xmeuuwve5yta5vryxp4xhr,0.0002478552691769348
DHN_COGEN_WASTE_CC,"treatment of waste cement-fibre slab, dismantled, municipal incineration",r42mb19woirmi5nbifsr8q4l5pekjkl8,0.0006597139725959587
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, WW from plywood production, municipal incineration",ogj17cxbybu2wulcfyin6om4ep5z80ec,0.0002254450273321832
DHN_COGEN_WASTE_CC,"treatment of waste rubber, unspecified, municipal incineration",hgcqkvedysuvt98yo33r5b16c3lvmxq9,0.01062000304772941
DHN_COGEN_WASTE_CC,"treatment of waste newspaper, municipal incineration",ic4qbuz78be8x00kfkaf4n6cj4n6nxs7,0.02776127715839601
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, WW from LCD backlight production, municipal incineration",ylej4zxkncqzwzpf2t1seq4imn2rgb72,9.797174095635677e-13
DHN_COGEN_WASTE_CC,"treatment of municipal solid waste, municipal incineration",caq9540ono6qmkp4bsopza8wsv7pd4jg,0.04342031299761565
DHN_COGEN_WASTE_CC,"treatment of residue from mechanical treatment, desktop computer, municipal incineration",8by3tde9vxttje7g37vdz3czt3kry335,0.0008487718060174665
DHN_COGEN_WASTE_CC,"treatment of spent cation exchange resin from potable water production, municipal incineration",rjdka92xd7f7i8l34df4kwtp7f5mfj3p,1.108255152108245e-07
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, rainwater mineral oil storage, municipal incineration",lm00293a6t5gmwoa27o6sbe1enfjyi8a,6.165897727942606e-15
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, WW from medium density board production, municipal incineration",a84unbncfemuhuz0a9e09vv3j2ww8rje,3.325775987079078e-06
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, WW from LCD production, municipal incineration",kws1hkn3y01uvy2s1sao8sscld9zwmtp,4.65802991646643e-12
DHN_COGEN_WASTE_CC,"treatment of waste wood pole, chrome preserved, municipal incineration",j21jajwniwwscykn0kuc9ouz1vl24422,0.00204100847421573
DHN_COGEN_WASTE_CC,"treatment of waste textile, soiled, municipal incineration",dznvzwdzfqux49xxvvkl4xktkzsyw1ap,0.00926615080762631
DHN_COGEN_WASTE_CC,"treatment of waste plastic, mixture, municipal incineration",wdjkk5u2867k6blk3759rhs2sw5il0pw,0.07555506356080281
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, heat carrier liquid, 40% C3H8O2, municipal incineration",ajo2u2ctdle7vzpkpaxsvxy6kam29c3n,8.796603986101573e-08
DHN_COGEN_WASTE_CC,"treatment of biowaste, municipal incineration",1ifvhyttkzkhx6mw2qxvv159snwrsyu4,0.05903086183473824
DHN_COGEN_WASTE_CC,"treatment of waste rubber, unspecified, municipal incineration",2snw2oxqnh6ew7sqlclkznchc6u5wxcx,0.00597053940406653
DHN_COGEN_WASTE_CC,"treatment of raw sewage sludge, municipal incineration",rzn1cad385wdfyof3y74cv9tdy0uxlxr,0.001997262697870713
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration",45iq0k8udwgr9u1pn0wtdn0p3oznae2h,1.359335863373781e-06
DHN_COGEN_WASTE_CC,"treatment of waste emulsion paint, municipal incineration",uswi17g08dmunarzqrgtbplli85emj93,0.004676113974171375
DHN_COGEN_WASTE_CC,"treatment of waste polyvinylchloride, municipal incineration",u2c42xpjamsgckhnzsqwxpewnbrar96m,0.006160978774061147
DHN_COGEN_WASTE_CC,"treatment of residue from shredder fraction from manual dismantling, municipal incineration",szcff2ue0krapq51mjbt5xup3hstzpnr,0.003339376199807556
DHN_COGEN_WASTE_CC,"treatment of waste polypropylene, municipal incineration",ep5yzhktx0vsjmjo7tcrwmk7uu9cgstr,0.02401089815079357
DHN_COGEN_WASTE_CC,"treatment of waste polyvinylfluoride, municipal incineration",hmuk40hqes1r1pqurlaaxk9p10ckdak6,0.0007900089519034191
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, WW from concrete production, municipal incineration",3kn2vm080li3qgilz837tea3l5pwld42,2.034467379614961e-09
DHN_COGEN_WASTE_CC,"treatment of residue from mechanical treatment, IT accessory, municipal incineration",tax5c8q1te35nr5r5cui9zowf6bpsixs,0.0003753664263533487
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, WW from CRT production, municipal incineration",gfnzspbr3ooqmtgt48hkiv8qbds6urnh,9.206405630948103e-15
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration",knc3lszu32b5s45cwckw3fzxju8k9kvb,1.154013357849329e-07
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT, WW from maize starch production, municipal incineration",7mi57qg0ky3czd5k16idfhnxu51xwkvi,0.0005915187340662672
DHN_COGEN_WASTE_CC,"treatment of residue from mechanical treatment, industrial device, municipal incineration",j17i7z1ohxggqgncitq6payr8usybsk1,0.001045575927107973
DHN_COGEN_WASTE_CC,"treatment of sewage sludge, 70% water, WWT[R], WW from anaerobic digestion of whey, municipal incineration",kzoodvawkhyv05wp3m3vj263bili174y,0.007028617596899336
