Name,Flow,Comment,ESM efficiency,LCA input unit,LCA input product,LCA input quantity,Output conversion factor,LCA output unit,ESM output unit,Input conversion factor,LCA efficiency,efficiency_ratio
COACH_BIODIESEL_B20_LD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",8.264462809917356,kilogram,diesel,0.02031894519426772,1.0,person kilometer,person kilometer,0.08453085376162299,4.160198915516068,0.5033840687774441
COACH_BIODIESEL_B20_MD,"['BIO_DIESEL', 'DIESEL']","Diesel input accepted, fossil carbon emissions turned into biogenic carbon flows accordingly",8.264462809917356,kilogram,diesel,0.02031894519426772,1.0,person kilometer,person kilometer,0.08453085376162299,4.160198915516068,0.5033840687774441
COACH_CNG_ELD,['NG_HP'],,9.090909090909092,kilogram,natural gas,0.01206460801309599,1.0,person kilometer,person kilometer,0.07633587786259542,6.327257195570193,0.6959982915127212
COACH_CNG_LD,['NG_HP'],,9.090909090909092,kilogram,natural gas,0.01206460801309599,1.0,person kilometer,person kilometer,0.07633587786259542,6.327257195570193,0.6959982915127212
COACH_CNG_MD,['NG_HP'],,9.090909090909092,kilogram,natural gas,0.01206460801309599,1.0,person kilometer,person kilometer,0.07633587786259542,6.327257195570193,0.6959982915127212
COACH_DIESEL_ELD,['DIESEL'],,8.19672131147541,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.0150885353859207
COACH_DIESEL_LD,['DIESEL'],,8.19672131147541,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.0150885353859207
COACH_DIESEL_MD,['DIESEL'],,8.19672131147541,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.0150885353859207
COACH_ETOH_E10_ELD,['GASOLINE'],,6.7114093959731544,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.2397392768237883
COACH_ETOH_E10_LD,['GASOLINE'],,6.7114093959731544,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.2397392768237883
COACH_ETOH_E10_MD,['GASOLINE'],,6.7114093959731544,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.2397392768237883
COACH_GASOLINE_ELD,['GASOLINE'],,6.0606060606060606,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.3728656421203023
COACH_GASOLINE_LD,['GASOLINE'],,6.0606060606060606,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.3728656421203023
COACH_GASOLINE_MD,['GASOLINE'],,6.0606060606060606,kilogram,diesel,0.01015947259713386,1.0,person kilometer,person kilometer,0.08453085376162299,8.320397831032135,1.3728656421203023
COACH_HY_DIESEL_ELD,['DIESEL'],,5.46448087431694,kilogram,diesel,0.00937062744408301,1.0,person kilometer,person kilometer,0.08453085376162299,9.020831770982333,1.650812214089767
COACH_HY_DIESEL_LD,['DIESEL'],,5.46448087431694,kilogram,diesel,0.00937062744408301,1.0,person kilometer,person kilometer,0.08453085376162299,9.020831770982333,1.650812214089767
