Name,Activity name,Activity code,Amount
COACH_EV_ELD,"transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus",rdjwe00k92u6mm6ykpg8nzl7z82wquif,1.0
COACH_EV_LD,"transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus",rzqz2k3fgd7ncgeq1o7skc0zhog5w25o,1.0
COACH_EV_MD,"transport, passenger bus, battery electric - overnight charging, 13m single deck urban bus",272730gibuajcawylmyetmfhyrg9ykgz,1.0
COACH_GASOLINE_ELD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",ekvirigswg1etblz1ekwkj11ax6q9ujh,1.0
COACH_GASOLINE_LD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",4k9wvsritxtsl6w6hcatu6gvh2bhim3t,1.0
COACH_GASOLINE_MD,"transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI",tqc2j94qe8ljl9mhybhyzlqdxoqng8mo,1.0
COACH_HY_DIESEL_ELD,"transport, passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI",0sdutka6gamko22n9vdbs20iaf0twgd0,1.0
COACH_HY_DIESEL_LD,"transport, passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI",5p2xl2lg03kpk1gtu8c64xcle7yrou3q,1.0
COACH_HY_DIESEL_MD,"transport, passenger bus, diesel hybrid, 13m single deck coach bus, EURO-VI",400eutc5ebk43latmb7ku57l6by2v2ta,1.0
COACH_PROPANE_ELD,"transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",y37ckm954zze5l5jukzpyh8c8xndwu34,1.0
COACH_PROPANE_LD,"transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",393v0qxwx64cvhkuun1jawslxx1rcztc,1.0
COACH_PROPANE_MD,"transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",ammxywa0ucthrvfxdi08rw1ihb5kityi,1.0
COAL_GAS_H2,"hydrogen production, coal gasification",bdssn980b0txlha8x1jxoko8z0b5hspa,1.0
COAL_GAS_H2_ADV,"hydrogen production, coal gasification",o9qdnbrep8fe793i6b0ck2yxvn1hu7mu,1.0
COAL_GAS_H2_ADV_CCS,"hydrogen production, coal gasification, with CCS",v368ulg14uoinmit3axjh0fvq4rpv69z,1.0
COAL_GAS_H2_CCS,"hydrogen production, coal gasification, with CCS",fnpj26q901tu9lwrrkq0ix3h22m56ks1,1.0
COAL_IGCC,"electricity production, at hard coal-fired IGCC power plant",gdsvcczqk033s9qx954siq5r3v4lyboo,1.0
COAL_IGCC_CC,"electricity production, at hard coal-fired IGCC power plant, pre, pipeline 200km, storage 1000m",u1noeevohvt81hfzu5br0iqoouj8oxru,1.0
COAL_US,"electricity production, at lignite-fired power plant, pulverised",x2drnvimnlx1zw6dgfeq4vstiu3shk7n,1.0
COAL_US_CC,"electricity production, at lignite-fired power plant, post, pipeline 200km, storage 1000m",i5tnj4vicjt7b985n19hjmu0y1ak38si,1.0
COMMUTER_RAIL_DIESEL_MD,"transport, passenger train",lnxpd6a6srw8bb23bw833w3grhuj5hg7,1.0
COMMUTER_RAIL_ELEC_MD,"transport, passenger train, regional",ms6ek1so3dz90x7k8wj1c1mb2jlrzj6t,1.0
CROPS_TO_ETHANOL,"ethanol production, via fermentation, from corn, energy allocation",l608s8u0c46cmd67xs6o2h0iu3uszw96,1.0
CROPS_TO_JETFUELS,"kerosene production, synthetic, Fischer Tropsch process, hydrogen from wood gasification, energy allocation",nqgks3buyj9xczekpk4ku52tdyy43jv8,1.0
