Name,Type,Product,Activity,Location,Database,Current_code,New_code
COACH_PROPANE_MD,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,10c27f6356bd40a4aa741b2ee02403f2,4nlziwgx9rm2xsoerbkf0e147b23pxjp
COAL_GAS_H2,Operation,"hydrogen, gaseous, low pressure","hydrogen production, coal gasification",CAN,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,cc267ccce8de4bcb9b7b68590d2019cc,benkgmzd32cxet0jspmfcf8ilisxtipz
COAL_GAS_H2_ADV,Operation,"hydrogen, gaseous, low pressure","hydrogen production, coal gasification",CAN,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,cc267ccce8de4bcb9b7b68590d2019cc,quubtv0d5axmj27dfk29gkiyut8bspu4
COAL_GAS_H2_ADV_CCS,Operation,"hydrogen, gaseous, low pressure","hydrogen production, coal gasification, with CCS",CAN,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,b0ea766f7518409a9f0d98ef6532c953,5er2th89ikl54sp0e55r5r3fp8wp7qkt
COAL_GAS_H2_ADV_CCS_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,55f6e4b84dedf6095f7fad55b62d3b6b,xg4kwf8gcyok9zo3qkqwt4x4eeyz6zg3
COAL_GAS_H2_ADV_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,4dafde2483b3ea9e99d1e6d13d211399,yiwcbssa5h7dlig5q40obla28mkonzqs
COAL_GAS_H2_ADV_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,55f6e4b84dedf6095f7fad55b62d3b6b,e3fxcyqolk460fhqe8z7a4g69ljn827u
COAL_GAS_H2_ADV_TANK,Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,4dafde2483b3ea9e99d1e6d13d211399,mcw1289c2f7dol1wxssp938fw7i2ebnc
COAL_GAS_H2_CCS,Operation,"hydrogen, gaseous, low pressure","hydrogen production, coal gasification, with CCS",CAN,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,b0ea766f7518409a9f0d98ef6532c953,wj3qjd643a8q20k3qx1bvzh2efe6udk5
COAL_GAS_H2_CCS_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,55f6e4b84dedf6095f7fad55b62d3b6b,pgavkhcqa64u9sk0gt6pjyl7dklpwkkj
COAL_GAS_H2_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,4dafde2483b3ea9e99d1e6d13d211399,vw48yyj70ha5z4od9jevxrnam80ql1x0
COAL_GAS_H2_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,55f6e4b84dedf6095f7fad55b62d3b6b,dvzr63vcmfzkl4n7j4kxrhhuho38n0rg
COAL_GAS_H2_TANK,Construction,"liquid storage tank, chemicals, organics","liquid storage tank production, chemicals, organics",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,4dafde2483b3ea9e99d1e6d13d211399,ojhluj1lu5kn1r691e056dwkxpv8pccu
COAL_IGCC,Construction,hard coal IGCC power plant 450MW,hard coal IGCC power plant 450MW,RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,7cd718f58ad2415cb17ba612190fe976,gnhneiqhief8798q3uiql3coche9sf1p
COAL_IGCC,Operation,"electricity, high voltage","electricity production, at hard coal-fired IGCC power plant",CAN,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,1cbfdd67b42a4eca99c97e3d679047e4,gkeskim1r7zd1sfot8e47owk8mvrk56c
COAL_IGCC_CC,Construction,hard coal IGCC power plant 450MW,hard coal IGCC power plant 450MW,RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,7cd718f58ad2415cb17ba612190fe976,owutfkpfvkcdioooglo5fkqb2k6hpagx
COAL_IGCC_CC,Operation,"electricity, high voltage","electricity production, at hard coal-fired IGCC power plant, pre, pipeline 200km, storage 1000m",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,1525ad3da69e49caa14ce0ce568cdd37,tsr2cj5o7iynf0dkrv433gp7ef2r68iy
COAL_US,Operation,"electricity, high voltage","electricity production, at lignite-fired power plant, pulverised",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,3c9718babe734db399c58cb9eb699d33,dti5qbv3twcsogjabqnw4gu6p69wunu5
COAL_US,Construction,lignite power plant,market for lignite power plant,GLO,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,e82a8b03a8359174d86652377c62140b,jki49ae8wdfczkuvaybqm41zwlzuocvq
COAL_US_CC,Operation,"electricity, high voltage","electricity production, at lignite-fired power plant, post, pipeline 200km, storage 1000m",RER,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,cdf6578d2dd745aeb86e479fd875e244,usvc8aktyrpkhpsgs07nmk2k57owxly9
COAL_US_CC,Construction,lignite power plant,market for lignite power plant,GLO,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,e82a8b03a8359174d86652377c62140b,kins2td1kv4zrsa4w0l0htp5t886r7b2
COMMUTER_RAIL_DIESEL_MD,Construction,"train, passenger, regional","train production, passenger, regional",RoW,ecoinvent_cutoff_3.10_image_SSP2-Base_2050+truck_carculator regionalized,0a4289cc4b4145f465d3b415a304cafd,hj3ja9a1w6sfbcxdawtabf3nqmij05dm
